News	Sentiment
The number of large-value frauds at public sector banks (PSBs) fell nearly 30% to 1902 in FY18 from 2709 in FY17 minister of state for finance Shiv Pratap Shukla told the Rajya Sabha on Tuesday. The highest incidence of frauds involving `1 lakh or more was observed at State Bank of India (SBI).	Negative
"A partnership firm of Nirav Modi Group approached PNB’s branch at Brady House, Mumbai. They presented a set of documents with a request to allow buyers credit for making payment to the overseas suppliers. Since there was no sanctioned limit in the name of the above firms, the branch officials requested the firms to furnish at least 10% cash margin for issuing Letter of Undertaking (LoU) for raising buyer’s credit. The first maturity of LoUs liability was confirmed on this day."	Negative
PNB share price today hit a fresh 52-week low as India’s biggest banking fraud unwinded at nation’s second largest PSU bank. PNB share price hammered down massively in the last 2 days of the trades. In the history of past two days PNB share price has plunged about 23.66%.	Negative
Markets regulator Sebi has launched a probe into trading and disclosure related issues in the matter of Punjab National Bank and Gitanjali Gems in connection with over Rs 11000 crore banking fraud allegedly perpetrated by absconding Nirav Modi.	Negative
India’s biggest banking fraud in country’s second largest PSU bank Punjab National Bank has now engulfed nation’s largest lender State Bank of India. State Bank of India has also been captured by the massive banking scam involving “fraudulent and unauthorised” LOUs between PNB and alleged diamond merchant Nirav Modi.	Negative
Even as we witness biggest banking fraud unfold in India’s second largest lender amid other loan defaults and mis-governance in the listed space in India ace investors from emerging markets champion Mark Mobius and Porinju Veliyath are betting on the corporate governance theme in the country.	Negative
A plunge in the shares of PSU banks kept the headline indices Sensex and Nifty with minimal rise in the morning deals on Monday. The shares of the fraud-hit PNB slumped over 4% in today’s trade.	Negative
As the alleged fraud of Rs 11400 crore entailing the fraudulent LOUs between diamond merchant Nirav Modi and Punjab National Bank intensifies the global credit rating agency has parked PNB on ‘Rating Watch Negative’.	Negative
Banking stocks continued to fall on Monday as investors grew wary of the Punjab National Bank (PNB) scam possibly leading to a much larger problem being unearthed.	Negative
Punjab National Bank (PNB) facing a Rs 11400-crore scandal may have to honour at least a substantial part of its commitment on the letters of undertakings (LoUs) and foreign letters of credit (FLCs) illegally issued to firms of celebrity jeweller Nirav Modi and his uncle Mehul Choksi by one of the bank’s employees by abusing its SWIFT interbank system two executives with banks having no exposure to such guarantees told FE.	Negative
The HDFC Bank on Monday confirmed that Securities and Exchange Board of India (Sebi) has directed it to conduct an internal inquiry into the leakage of unpublished price sensitive information (UPSI) related to financial figures of some companies including the bank through WhatsApp messages.	Negative
Nifty PSU Bank index has shed 18% value since February 14 when multi-billion rupees PNB-Nirav Modi LoU scam came to light. Punjab National Bank shares are down more than 40% since then. In today’s trade two-thirds of PSU bank shares fell to their respective 52-week lows.	Negative
Precautionary measures taken by public sector banks in the wake of the Rs 11400-crore Nirav Modi scam are unlikely to have a significant impact on the financing of the Surat-based diamond industry.	Negative
"Vishal Goyal of UBS India in an interview to CNBC-TV18 said with fraud investigations going on there is a natural tendency of risk aversion by investors. However, after 15-30 days when there is further clarity one could see some value buying in the PSU banking space."	Negative
"Karwa attributes current fall in the market to weak local environment which involves the PNB bank scam, along with global challenges such as hardening of interest rates."	Negative
"CBI has so far arrested over a dozen persons, including former and current officials of PNB and companies related to Modi and Choksi."	Negative
"In the short term, issues hitting the market were negative news flow back home involving the big banking scam, while trade tariffs and interest rates affected the Street globally, Ratnesh Kumar said."	Negative
"In January this year, the Securities and Exchange Board of India (Sebi) had directed the banks, depositories -- NSDL and CDSL -- and mutual funds to attach the bank and demat accounts of Vinay Rai, Anil Rai, RKKR Agencies, Utility Trade Links and Pukhraj Holdings in the matter of Information Technologies (India) to recover Rs 12.61 lakh."	Negative
"Trend in global interest rates, political uncertainty among key risks. Speaking on redemption pressure seen in mutual fund inflows for March, Naren believes the month, historically, does not give much clarity."	Neutral
"Despite this, prices remain within recent ranges as oil markets still face an abundance of supply that puts pressure on producers to keep their prices competitive in order not to lose market share."	Neutral
"Despite a strong start, the home currency erased all its morning gains during intra-day due to renewed dollar demand from importers, but eventually managed to settled the day in positive zone."	Positive
"Crude prices rose more than 3 percent, breaking above USD 65 per barrel. Oil's strong gains boosted energy stocks. The Energy Select Sector SPDR fund (XLE) surged 3.3 percent and posted its best day since Nov. 30, 2016."	Positive
"In Tokyo, the Nikkei 225 slipped below the flat line to trade lower by 0.12 percent. Financials, oil producers and shippers gained, but declines were seen in consumer goods sectors."	Negative
"Brent crude futures were at $72.33 per barrel at 0648 GMT, up 27 cents, or 0.4 percent from their last close."	Positive
"ICEX had launched the world's first diamond derivatives contracts in August last year with 1-carat futures contracts, and had subsequently added the 50-cents contracts."	Neutral
"It said growth in non-OPEC oil supply was forecast to rise by a further 80,000 barrels per day this year to 1.71 million bpd, driven largely by higher-than-anticipated growth in the first quarter in the United States and the former Soviet Union."	Positive
